jocastaintriago	Primero tomaba el sol desde el patio de mi casa (importante recibir vitamina D).🌞.Y ahora he sido acogida en la casa de mi amiga @gabycalaho quien también se convirtió en mi fotografa y bueno terminaremos de pasar la cuarentena juntas y de seguro nos divertiremos mucho🤣🙏.Lo siento hoy es un día cero Makeup, pronto les comparto algo lindo♥️🙏💃	1 de mayo de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95540663_232603801168376_7465762834555338271_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=qdgmoeiigqcAX-YNkG8&oh=e4cbeda238fab1dfc55a129bf65aa967&oe=5EFD23F4 https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95333835_616407005886060_5688647710636434707_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=hel9kFrtRocAX-f2wyW&oh=263254342a8d427ad091c2dbbad90fe1&oe=5EFCA38B
emilseviva	Extrañando a mis amiguitos que me hacían probar cosas nuevas.	18 de mayo de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/98484446_275882570255391_8002242305893688357_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=eIH2EhBFfaIAX_Y9Sgp&oh=639de6c06a86369a00fb5263b9cc8d86&oe=5EFE1B2B
valeriaviteri_v4	✨ Ya era hora ! Un pisinazo 🤭Mi 👙 @queenkimonos#onlygoodvibes	15 de diciembre de 2019	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/80049771_599334340820396_5165555134614633151_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=tnVklSAIeSwAX-pvG5h&oh=f4c1e9947320ab1740632b29ad03f08e&oe=5EFABBC1
